Date;Jour;0-1h;1-2h;2-3h;3-4h;4-5h;5-6h;6-7h;7-8h;8-9h;9-10h;10-11h;11-12h;12-13h;13-14h;14-15h;15-16h;16-17h;17-18h;18-19h;19-20h;20-21h;21-22h;22-23h;23-24h;Total
01/05/2022;1;328;234;173;123;115;88;172;145;147;229;401;466;562;519;532;480;547;492;601;578;501;335;312;299;8379
02/05/2022;2;184;131;78;54;64;130;302;508;685;596;619;614;653;650;660;701;783;872;935;794;519;395;337;298;11562
03/05/2022;3;212;107;55;64;59;145;307;442;674;600;611;668;652;754;722;704;789;1032;903;803;612;396;301;278;11890
04/05/2022;4;194;114;75;50;67;142;283;520;705;696;619;648;680;687;720;768;809;961;883;803;614;424;292;287;12041
05/05/2022;5;243;108;78;51;80;147;328;527;706;696;668;761;784;725;721;693;877;339;858;835;599;464;365;301;11954
06/05/2022;6;234;123;77;67;71;154;324;505;695;718;644;720;757;809;832;718;957;886;851;850;626;438;357;346;12759
07/05/2022;7;291;212;155;97;78;136;183;230;338;441;473;536;672;563;628;583;609;546;113;622;490;434;343;399;9172
08/05/2022;1;423;287;184;139;25;110;166;138;165;265;406;535;603;540;501;464;472;515;587;520;445;416;312;266;8484
09/05/2022;2;215;116;63;54;65;140;307;514;702;653;676;678;685;736;783;754;919;1044;947;859;601;452;535;429;12927
10/05/2022;3;272;144;94;53;82;180;316;563;721;687;658;748;784;778;755;794;930;985;973;849;687;439;421;499;13412
11/05/2022;4;337;153;101;72;92;173;302;517;723;749;709;739;798;769;777;755;933;990;936;850;694;442;344;284;13239
12/05/2022;5;223;142;101;60;78;166;327;587;756;744;675;754;771;806;764;799;972;954;1002;849;678;415;306;280;13209
13/05/2022;6;244;174;112;75;97;162;326;569;780;760;724;747;795;862;822;847;907;1009;931;868;617;522;387;322;13659
14/05/2022;7;338;222;150;112;116;120;201;255;374;555;591;630;658;660;689;640;674;650;643;667;549;384;384;409;10671
15/05/2022;1;352;278;207;126;136;128;180;178;237;290;461;535;613;565;512;511;483;528;507;555;490;392;351;246;8861
16/05/2022;2;157;112;57;51;59;152;292;510;731;664;635;653;701;767;707;827;970;941;939;802;664;346;238;198;12173
17/05/2022;3;157;83;76;45;60;181;317;523;757;684;683;698;764;766;803;834;951;995;922;854;667;439;294;264;12817
18/05/2022;4;163;116;89;41;79;167;302;513;742;653;666;698;796;799;829;814;939;988;925;840;678;446;326;249;12858
19/05/2022;5;183;105;53;44;72;189;338;543;776;664;680;688;742;728;806;796;911;974;916;821;693;460;376;298;12856
20/05/2022;6;234;158;89;69;55;164;314;580;537;756;688;717;815;784;790;886;1019;982;945;817;624;441;387;332;13183
22/05/2022;1;345;391;209;137;119;108;169;159;212;296;461;498;568;592;523;503;547;560;561;529;514;443;325;255;9024
23/05/2022;2;179;95;52;42;67;161;300;489;746;670;661;647;770;743;725;799;930;992;915;851;584;354;285;218;12275
24/05/2022;3;170;107;56;22;67;160;341;550;212;717;700;815;800;806;793;889;946;979;971;841;672;424;296;281;12615
25/05/2022;4;216;129;76;50;77;172;286;512;720;641;666;706;803;729;790;832;953;970;899;877;665;504;361;280;12914
26/05/2022;5;249;182;127;67;75;80;156;226;172;331;422;481;522;485;494;493;519;577;588;584;480;371;314;302;8297
27/05/2022;6;238;158;88;60;77;135;266;415;549;598;602;714;686;718;785;658;745;745;724;691;591;387;308;308;11246
28/05/2022;7;245;187;129;102;99;50;204;238;302;447;548;579;613;587;615;566;664;546;548;537;550;413;279;305;9353
31/05/2022;3;150;113;62;47;62;144;307;454;711;646;745;759;732;820;306;845;935;1049;1015;844;691;386;399;293;12515
01/06/2022;4;215;118;90;55;74;157;293;486;725;673;685;700;793;911;820;808;913;989;914;839;716;375;336;294;12979
02/06/2022;5;207;126;94;52;86;170;306;503;635;707;696;715;774;732;764;745;853;912;813;872;698;369;340;276;12445
03/06/2022;6;229;144;97;78;73;195;332;564;797;768;774;755;745;772;815;854;902;999;1002;812;608;451;311;248;13325
04/06/2022;7;315;179;145;84;81;133;195;262;402;512;582;598;613;706;667;641;609;593;466;573;597;390;279;286;9908
05/06/2022;1;312;220;191;116;104;100;186;164;217;307;450;509;596;507;498;493;450;498;564;537;430;328;304;304;8385
06/06/2022;2;262;183;116;74;55;71;186;256;265;317;421;463;501;496;536;562;563;515;632;596;498;342;309;270;8489
07/06/2022;3;187;116;66;52;54;146;300;500;772;708;699;710;721;791;839;748;899;1028;1098;983;675;433;349;284;13158
08/06/2022;4;175;114;91;54;59;172;277;466;725;738;691;686;792;764;812;806;898;980;825;874;659;418;329;221;12626
09/06/2022;5;232;128;86;46;69;156;302;532;795;726;670;705;759;771;810;1012;1084;985;990;982;653;501;341;311;13646
10/06/2022;6;188;132;92;70;81;181;327;510;779;782;745;732;820;808;849;819;890;962;1042;909;686;493;381;353;13631
11/06/2022;7;312;200;155;110;59;138;194;258;379;490;635;613;650;587;637;575;540;623;588;649;572;396;335;404;10099
12/06/2022;1;388;354;244;164;125;127;143;219;214;364;500;584;590;511;516;507;479;497;537;581;502;448;349;309;9252
13/06/2022;2;209;142;64;58;63;143;299;496;708;686;617;602;698;770;723;734;862;876;937;821;597;332;346;277;12060
14/06/2022;3;219;115;72;52;52;167;316;498;874;748;688;732;786;826;839;816;975;971;951;906;674;398;381;297;13353
15/06/2022;4;225;129;73;60;63;188;287;516;721;692;693;701;749;796;769;723;863;13;939;896;601;391;277;255;11620
16/06/2022;5;200;141;77;52;68;158;306;533;715;651;662;696;705;764;733;732;883;994;939;813;670;416;313;280;12501
17/06/2022;6;243;167;115;65;59;179;328;556;776;751;714;774;729;822;800;834;842;860;815;787;618;471;356;349;13010
18/06/2022;7;319;196;151;110;102;141;223;280;402;546;623;598;603;640;604;575;561;577;595;566;496;413;354;379;10054
19/06/2022;1;440;263;233;166;116;123;161;176;201;337;472;570;589;562;515;513;537;529;576;539;454;453;419;325;9269
20/06/2022;2;194;129;79;66;62;143;270;476;749;694;636;727;691;789;727;779;957;978;946;793;619;411;365;268;12548
21/06/2022;3;160;95;64;49;76;174;281;464;672;707;751;767;758;725;820;775;924;1001;988;846;664;426;347;328;12862
22/06/2022;4;267;176;129;119;98;200;338;476;732;726;385;725;797;833;797;805;856;943;967;840;615;429;361;329;12943
23/06/2022;5;260;154;108;58;63;185;316;496;736;675;669;691;723;710;739;774;914;956;814;845;678;484;386;354;12788
24/06/2022;6;290;158;139;78;79;203;323;552;722;677;761;753;690;769;830;826;876;935;792;799;581;425;349;359;12966
25/06/2022;7;327;266;163;134;97;119;197;257;398;496;677;620;648;642;599;600;524;608;569;580;556;424;337;378;10216
26/06/2022;1;334;252;188;144;122;99;149;159;190;287;443;492;552;530;482;502;437;505;503;533;557;428;377;301;8566
27/06/2022;2;221;131;76;68;61;160;267;502;750;628;624;640;692;744;788;743;852;932;938;856;580;412;486;613;12764
28/06/2022;3;454;281;191;167;71;147;326;487;765;684;700;675;771;750;752;747;925;888;913;787;670;528;776;754;14209
29/06/2022;4;558;358;236;159;114;148;311;448;668;616;651;650;760;738;750;717;826;891;899;805;697;723;777;589;14089
30/06/2022;5;438;308;252;169;135;143;296;482;726;674;645;678;712;665;676;758;874;930;855;859;638;762;644;603;13922
